dfa_alpha1,Sub_vt1,Mid_vt,Supra_vt2,VT_label_3class,Supra_vt1
1.5298232394772033,1,0,0,Sub_vt1,0
1.559524257286468,1,0,0,Sub_vt1,0
1.5400726143349164,1,0,0,Sub_vt1,0
1.6324327806669894,1,0,0,Sub_vt1,0
1.5833975044804562,1,0,0,Sub_vt1,0
1.7819542211978148,1,0,0,Sub_vt1,0
1.5559200394974184,1,0,0,Sub_vt1,0
1.487453697000926,1,0,0,Sub_vt1,0
1.5392485503614977,1,0,0,Sub_vt1,0
1.524365850393065,1,0,0,Sub_vt1,0
1.1701413318009617,1,0,0,Sub_vt1,0
1.4683467702786086,1,0,0,Sub_vt1,0
1.3133464100752943,1,0,0,Sub_vt1,0
1.4529368427743883,1,0,0,Sub_vt1,0
1.3021906025189867,1,0,0,Sub_vt1,0
1.2757036232303394,1,0,0,Sub_vt1,0
1.5019471449872936,1,0,0,Sub_vt1,0
1.444544008267459,1,0,0,Sub_vt1,0
1.5327028102152667,1,0,0,Sub_vt1,0
1.4055540733578669,1,0,0,Sub_vt1,0
1.6074544293830053,1,0,0,Sub_vt1,0
1.6881593460523767,1,0,0,Sub_vt1,0
1.8411567008765675,1,0,0,Sub_vt1,0
1.375008134976784,1,0,0,Sub_vt1,0
1.739161561096387,1,0,0,Sub_vt1,0
1.464416607790241,1,0,0,Sub_vt1,0
1.3666707206336062,1,0,0,Sub_vt1,0
1.296130059959256,1,0,0,Sub_vt1,0
1.5517857540511353,1,0,0,Sub_vt1,0
1.651729390712827,1,0,0,Sub_vt1,0
1.717929412923042,1,0,0,Sub_vt1,0
1.2091453075457679,1,0,0,Sub_vt1,0
0.48828181693755063,0,0,1,Supra_vt2,1
0.8121786046207594,0,0,1,Supra_vt2,1
0.6147418632218842,0,0,1,Supra_vt2,1
1.289521859763328,0,0,1,Supra_vt2,1
0.8969903186413651,0,0,1,Supra_vt2,1
1.470427741773218,0,0,1,Supra_vt2,1
1.0999920530391507,0,0,1,Supra_vt2,1
1.116247962742737,0,0,1,Supra_vt2,1
0.3692271537610005,0,0,1,Supra_vt2,1
0.5935494843339069,0,0,1,Supra_vt2,1
0.7384789151173661,0,0,1,Supra_vt2,1
0.851927129048793,0,0,1,Supra_vt2,1
0.5149873927091471,0,0,1,Supra_vt2,1
0.7024232061508555,0,0,1,Supra_vt2,1
0.56535176242766,0,0,1,Supra_vt2,1
0.35117421543589666,0,0,1,Supra_vt2,1
0.27551494881760197,0,0,1,Supra_vt2,1
0.672003938602296,0,0,1,Supra_vt2,1
1.1162005115293394,0,0,1,Supra_vt2,1
0.5375956563526726,0,0,1,Supra_vt2,1
0.9027155578191014,0,0,1,Supra_vt2,1
0.7616913711388587,0,0,1,Supra_vt2,1
0.7788647216242093,0,0,1,Supra_vt2,1
0.822293366966851,0,0,1,Supra_vt2,1
0.9174498407428116,0,0,1,Supra_vt2,1
0.7651029078863613,0,0,1,Supra_vt2,1
0.4788395323449485,0,0,1,Supra_vt2,1
1.374918554469924,0,0,1,Supra_vt2,1
0.8015975986736946,0,0,1,Supra_vt2,1
1.26892063868592,0,0,1,Supra_vt2,1
0.8442876090567359,0,0,1,Supra_vt2,1
0.3624323303524832,0,0,1,Supra_vt2,1
